maxAbs,mean,min,var
3.165171e-02,1.042273e-02,4.665400e-05,6.172327e-05
4.008589e-02,1.033725e-02,2.787030e-04,6.009627e-05
3.017479e-02,1.008274e-02,5.771000e-05,5.691127e-05
2.991348e-02,9.881029e-03,5.750700e-05,5.419344e-05
2.911912e-02,9.673929e-03,5.747800e-05,5.127670e-05
2.928790e-02,9.512662e-03,4.638400e-05,4.976959e-05
2.749809e-02,9.205007e-03,4.754500e-05,4.631499e-05
2.665036e-02,9.041888e-03,4.762000e-05,4.451565e-05
2.421393e-02,8.885203e-03,4.884400e-05,4.319187e-05
2.547434e-02,8.618788e-03,4.802100e-05,4.099974e-05
2.425513e-02,8.432312e-03,4.671200e-05,3.922208e-05
2.531027e-02,8.272233e-03,5.962100e-05,3.841302e-05
2.426259e-02,8.036684e-03,3.376360e-04,3.610774e-05
2.299056e-02,7.844930e-03,4.763500e-05,3.506831e-05
2.301311e-02,7.621646e-03,5.862000e-05,3.334479e-05
2.217147e-02,7.445295e-03,5.702300e-05,3.180490e-05
2.049339e-02,7.271216e-03,4.673900e-05,3.051579e-05
2.198757e-02,7.024987e-03,5.426000e-05,2.855164e-05
2.048344e-02,6.883899e-03,4.876400e-05,2.767131e-05
2.158636e-02,6.657197e-03,4.606600e-05,2.608690e-05
1.859419e-02,6.415752e-03,5.299700e-05,2.401588e-05
2.003038e-02,6.206536e-03,5.824500e-05,2.270136e-05
1.971250e-02,6.078564e-03,6.184800e-05,2.174672e-05
1.905415e-02,5.806872e-03,5.498100e-05,2.012933e-05
1.753306e-02,5.604721e-03,5.793100e-05,1.847058e-05
1.745723e-02,5.394836e-03,4.867500e-05,1.741971e-05
1.662101e-02,5.163853e-03,5.405900e-05,1.594252e-05
1.592172e-02,4.992066e-03,5.873500e-05,1.502000e-05
1.539322e-02,4.734866e-03,4.701700e-05,1.359909e-05
1.474458e-02,4.518803e-03,5.572500e-05,1.241689e-05
1.347863e-02,4.343337e-03,4.517800e-05,1.152163e-05
1.341421e-02,4.150812e-03,2.742760e-04,1.051797e-05
1.266455e-02,3.938448e-03,5.840700e-05,9.579305e-06
1.204232e-02,3.723832e-03,5.787200e-05,8.647147e-06
1.138661e-02,3.533617e-03,4.818100e-05,7.802549e-06
1.108942e-02,3.310132e-03,4.837900e-05,6.845900e-06
1.014958e-02,3.149072e-03,4.659200e-05,6.230053e-06
9.328838e-03,2.921646e-03,4.492300e-05,5.317338e-06
8.898509e-03,2.777901e-03,4.637600e-05,4.888736e-06
1.362950e-02,2.546827e-03,5.331500e-05,4.118068e-06
1.021957e-02,2.305087e-03,4.418100e-05,3.371428e-06
1.128436e-02,2.109103e-03,4.640400e-05,2.813351e-06
1.180821e-02,1.904590e-03,4.523300e-05,2.330340e-06
1.009916e-02,1.692029e-03,5.015300e-05,1.810368e-06
8.930338e-03,1.493959e-03,6.228700e-05,1.412774e-06
8.809865e-03,1.301613e-03,4.816400e-05,1.077508e-06
7.218919e-03,1.098775e-03,5.736700e-05,7.684579e-07
6.382097e-03,9.025651e-04,1.825740e-04,5.074635e-07
6.376680e-03,7.059057e-04,4.749000e-05,3.376185e-07
6.163951e-03,5.107338e-04,4.885000e-05,1.815328e-07
3.765764e-03,3.086033e-04,8.238400e-05,6.308288e-08
7.217510e-04,7.582018e-05,4.404800e-05,2.015116e-09
