maxAbs,mean,min,var
7.549570e-04,8.245943e-05,4.755800e-05,2.340262e-09
3.796574e-03,3.144438e-04,8.611300e-05,6.367619e-08
6.189431e-03,5.160171e-04,5.273200e-05,1.826355e-07
6.397732e-03,7.111375e-04,5.121400e-05,3.388931e-07
6.397965e-03,9.076093e-04,1.860570e-04,5.085807e-07
7.234820e-03,1.103838e-03,6.252000e-05,7.698606e-07
8.828615e-03,1.306761e-03,5.245200e-05,1.079168e-06
8.946644e-03,1.499036e-03,6.694100e-05,1.414688e-06
1.011271e-02,1.697178e-03,5.432800e-05,1.812513e-06
1.182185e-02,1.909760e-03,4.849400e-05,2.332963e-06
1.129713e-02,2.114245e-03,5.000500e-05,2.816083e-06
1.023131e-02,2.310339e-03,4.742400e-05,3.374707e-06
1.364781e-02,2.552188e-03,5.820100e-05,4.121398e-06
8.908270e-03,2.783175e-03,4.975400e-05,4.892428e-06
9.339165e-03,2.926575e-03,4.832100e-05,5.320215e-06
1.015836e-02,3.154230e-03,5.017500e-05,6.233866e-06
1.109950e-02,3.315296e-03,5.235600e-05,6.849200e-06
1.139861e-02,3.538811e-03,5.204000e-05,7.806818e-06
1.205543e-02,3.729122e-03,6.310400e-05,8.652258e-06
1.267687e-02,3.943633e-03,6.380800e-05,9.584046e-06
1.342671e-02,4.156475e-03,2.880660e-04,1.052369e-05
1.349129e-02,4.348968e-03,4.876900e-05,1.152791e-05
1.475848e-02,4.524448e-03,6.082500e-05,1.242331e-05
1.540559e-02,4.740395e-03,5.094300e-05,1.360518e-05
1.593453e-02,4.997899e-03,6.417400e-05,1.502760e-05
1.663503e-02,5.169757e-03,5.829600e-05,1.595136e-05
1.747100e-02,5.400810e-03,5.380800e-05,1.742923e-05
1.754661e-02,5.610896e-03,6.319100e-05,1.848046e-05
1.906571e-02,5.813053e-03,5.935600e-05,2.014045e-05
1.972512e-02,6.084821e-03,6.804500e-05,2.175915e-05
2.004644e-02,6.212509e-03,6.421800e-05,2.271276e-05
1.860964e-02,6.422081e-03,5.754900e-05,2.402853e-05
2.160013e-02,6.663702e-03,4.944300e-05,2.610166e-05
2.049458e-02,6.890637e-03,5.231800e-05,2.768748e-05
2.200140e-02,7.031690e-03,5.895600e-05,2.856889e-05
2.050850e-02,7.278203e-03,5.025100e-05,3.053510e-05
2.218690e-02,7.452047e-03,6.222800e-05,3.182178e-05
2.302494e-02,7.628474e-03,6.395800e-05,3.336311e-05
2.300293e-02,7.852193e-03,5.143700e-05,3.508966e-05
2.427614e-02,8.043700e-03,3.632360e-04,3.612597e-05
2.532403e-02,8.279464e-03,6.482600e-05,3.843457e-05
2.426642e-02,8.439595e-03,5.032300e-05,3.924047e-05
2.548945e-02,8.626262e-03,5.168700e-05,4.101610e-05
2.422587e-02,8.892650e-03,5.338000e-05,4.321197e-05
2.666352e-02,9.049725e-03,5.145200e-05,4.453935e-05
2.751014e-02,9.212256e-03,5.123300e-05,4.633532e-05
2.930130e-02,9.520444e-03,5.002200e-05,4.979517e-05
2.913264e-02,9.681522e-03,6.296100e-05,5.130045e-05
2.992750e-02,9.888603e-03,6.264400e-05,5.421828e-05
3.018616e-02,1.009063e-02,6.298700e-05,5.693795e-05
4.010332e-02,1.034472e-02,2.921250e-04,6.012303e-05
3.166502e-02,1.043011e-02,5.049300e-05,6.174772e-05
