maxAbs,mean,min,var
2.362130e-04,1.352812e-04,5.353000e-06,9.973106e-10
3.249810e-04,1.377030e-04,3.672300e-05,9.428960e-10
2.421980e-04,1.316644e-04,8.013000e-06,7.975014e-10
2.159420e-04,1.278970e-04,8.154000e-06,1.102470e-09
2.354110e-04,1.278810e-04,8.025000e-06,1.220720e-09
6.541670e-04,1.282472e-04,5.705000e-06,1.106001e-09
2.106050e-04,1.250815e-04,5.931000e-06,1.136171e-09
2.114120e-04,1.201357e-04,5.818000e-06,1.163191e-09
2.491200e-04,1.225274e-04,5.779000e-06,9.408444e-10
3.361190e-04,1.166591e-04,5.653000e-06,9.598396e-10
1.980340e-04,1.128027e-04,5.367000e-06,8.226262e-10
2.650880e-04,1.094641e-04,9.468000e-06,7.380634e-10
3.010720e-04,1.058569e-04,3.612100e-05,7.594340e-10
2.285150e-04,1.040442e-04,5.801000e-06,5.454545e-10
2.513300e-04,9.979241e-05,8.223000e-06,4.563744e-10
1.764850e-04,9.821040e-05,8.001000e-06,4.795423e-10
1.999800e-04,9.131340e-05,5.661000e-06,5.952366e-10
1.676920e-04,8.844291e-05,7.112000e-06,5.393909e-10
1.836560e-04,8.775745e-05,6.330000e-06,4.927946e-10
2.335650e-04,8.215216e-05,4.790000e-06,5.453469e-10
1.942180e-04,7.923221e-05,6.944000e-06,5.603946e-10
2.352380e-04,7.788981e-05,8.518000e-06,5.816356e-10
2.296140e-04,7.396871e-05,1.101500e-05,6.069897e-10
2.125990e-04,7.139917e-05,7.105000e-06,5.543925e-10
2.423750e-04,6.939379e-05,8.244000e-06,5.084987e-10
1.389860e-04,6.306573e-05,6.892000e-06,6.004657e-10
1.830860e-04,6.017652e-05,7.191000e-06,5.622158e-10
2.397220e-04,5.780073e-05,8.287000e-06,4.756293e-10
1.864750e-04,5.371116e-05,6.004000e-06,3.999029e-10
1.335230e-04,5.077846e-05,7.483000e-06,3.389185e-10
1.816970e-04,4.697160e-05,5.194000e-06,3.118401e-10
1.265080e-04,4.408783e-05,1.898700e-05,2.795164e-10
1.116730e-04,4.096037e-05,8.360000e-06,2.088196e-10
1.273500e-04,3.657554e-05,8.177000e-06,1.257735e-10
1.787910e-04,3.269094e-05,7.048000e-06,8.770059e-11
2.033590e-04,2.922059e-05,5.962000e-06,8.290005e-11
1.864320e-04,2.776602e-05,5.251000e-06,4.701404e-11
2.171820e-04,2.605543e-05,5.414000e-06,3.260959e-11
1.606710e-04,2.374541e-05,5.347000e-06,2.790525e-11
1.118080e-04,2.171141e-05,7.995000e-06,1.962611e-11
1.387740e-04,2.020410e-05,4.753000e-06,1.922179e-11
1.344850e-04,1.864096e-05,5.538000e-06,1.472967e-11
1.267990e-04,1.692053e-05,5.186000e-06,1.769287e-11
2.640510e-04,1.586259e-05,5.873000e-06,1.398000e-11
1.117560e-04,1.458671e-05,7.309000e-06,1.113770e-11
1.285780e-04,1.389042e-05,6.415000e-06,1.641353e-11
1.483760e-04,1.273320e-05,7.875000e-06,1.783401e-11
1.468560e-04,1.212252e-05,8.346000e-06,1.642978e-11
1.561010e-04,1.204192e-05,5.945000e-06,4.548517e-11
1.450990e-04,1.148078e-05,6.121000e-06,4.215974e-11
2.299500e-04,1.201562e-05,6.692000e-06,5.228945e-11
2.053420e-04,1.108678e-05,5.030000e-06,5.986605e-11
