maxAbs,mean,min,var
5.454710e-04,4.283795e-05,2.214100e-05,6.418833e-10
5.837620e-04,6.005374e-05,3.053200e-05,7.835714e-10
7.415550e-04,7.496456e-05,2.657000e-05,1.486245e-09
6.280900e-04,9.171450e-05,2.574600e-05,2.291048e-09
7.592480e-04,1.057406e-04,4.657500e-05,2.637276e-09
8.408810e-04,1.156995e-04,3.270700e-05,3.729102e-09
1.039987e-03,1.337246e-04,2.554700e-05,5.071724e-09
1.130530e-03,1.520936e-04,3.126900e-05,6.680010e-09
9.363800e-04,1.696312e-04,2.468200e-05,8.428307e-09
2.793373e-03,1.886628e-04,2.362100e-05,1.109342e-08
1.154763e-03,2.069233e-04,2.411900e-05,1.240052e-08
1.146942e-03,2.254867e-04,2.296500e-05,1.447381e-08
1.332293e-03,2.465563e-04,2.904300e-05,1.702127e-08
7.447890e-04,2.709606e-04,2.421400e-05,2.015307e-08
7.699470e-04,2.826867e-04,2.317000e-05,2.004123e-08
8.077250e-04,3.043169e-04,2.507700e-05,2.322807e-08
9.523150e-04,3.118213e-04,2.611100e-05,2.431909e-08
1.033033e-03,3.347928e-04,2.571200e-05,2.936517e-08
8.858050e-04,3.548542e-04,3.310300e-05,3.335812e-08
9.411070e-04,3.816790e-04,3.326800e-05,3.596407e-08
9.579790e-04,4.042518e-04,1.081370e-04,3.686600e-08
1.006210e-03,4.211597e-04,2.373200e-05,3.946681e-08
1.043700e-03,4.415343e-04,3.210800e-05,4.375814e-08
1.100323e-03,4.630078e-04,2.473400e-05,4.726968e-08
1.176224e-03,4.903429e-04,3.334500e-05,5.138449e-08
1.243866e-03,5.107862e-04,2.776500e-05,5.404167e-08
1.218549e-03,5.326063e-04,2.573900e-05,5.736969e-08
1.258326e-03,5.546400e-04,3.328200e-05,6.175122e-08
1.289948e-03,5.785440e-04,2.819400e-05,6.703709e-08
1.333928e-03,5.972527e-04,3.698600e-05,7.065896e-08
1.470894e-03,6.215337e-04,3.340300e-05,7.720322e-08
1.432411e-03,6.423404e-04,2.939800e-05,8.039176e-08
1.533323e-03,6.663635e-04,2.318500e-05,8.944600e-08
1.530804e-03,7.019755e-04,2.641400e-05,1.016220e-07
1.562612e-03,7.138815e-04,3.127500e-05,9.967742e-08
1.575526e-03,7.322319e-04,2.508900e-05,1.050205e-07
1.654565e-03,7.609049e-04,3.260300e-05,1.138893e-07
1.749502e-03,7.817325e-04,3.327300e-05,1.189074e-07
1.746850e-03,8.054900e-04,2.560200e-05,1.222702e-07
1.753754e-03,8.221759e-04,1.097000e-04,1.190779e-07
1.823563e-03,8.528436e-04,3.517800e-05,1.304698e-07
1.862304e-03,8.779972e-04,2.483100e-05,1.274757e-07
1.911447e-03,8.919138e-04,2.621700e-05,1.266170e-07
1.925739e-03,9.255887e-04,2.629800e-05,1.328734e-07
1.999684e-03,9.440587e-04,2.566700e-05,1.343862e-07
2.768187e-03,9.589394e-04,2.580200e-05,1.387127e-07
2.100308e-03,9.905635e-04,2.478000e-05,1.536306e-07
2.136259e-03,1.002129e-03,3.297700e-05,1.530410e-07
2.160184e-03,1.011909e-03,3.310700e-05,1.569729e-07
2.299476e-03,1.041678e-03,3.267300e-05,1.734126e-07
2.760163e-03,1.067508e-03,1.110710e-04,1.846090e-07
2.292802e-03,1.069120e-03,2.472100e-05,1.885828e-07
