maxAbs,mean,min,var
6.532830e-04,6.203115e-05,3.482800e-05,1.356700e-09
3.690120e-03,2.952818e-04,7.153100e-05,6.181588e-08
6.099037e-03,4.968058e-04,3.947500e-05,1.798732e-07
6.316469e-03,6.903664e-04,3.822400e-05,3.358589e-07
6.333502e-03,8.856591e-04,1.672650e-04,5.066042e-07
7.167453e-03,1.080966e-03,4.686900e-05,7.672226e-07
8.747072e-03,1.282071e-03,3.831800e-05,1.075965e-06
8.868939e-03,1.472985e-03,5.010100e-05,1.410930e-06
1.002829e-02,1.669288e-03,3.733600e-05,1.807974e-06
1.175089e-02,1.879960e-03,3.594100e-05,2.326788e-06
1.122712e-02,2.082479e-03,3.702300e-05,2.808608e-06
1.015974e-02,2.276851e-03,3.518400e-05,3.366078e-06
1.355373e-02,2.516443e-03,4.294000e-05,4.109996e-06
8.842590e-03,2.745312e-03,3.726400e-05,4.878432e-06
9.267489e-03,2.887175e-03,3.558600e-05,5.306631e-06
1.009491e-02,3.112596e-03,3.735700e-05,6.214259e-06
1.101936e-02,3.271396e-03,3.886400e-05,6.832845e-06
1.131068e-02,3.492517e-03,3.879300e-05,7.782107e-06
1.196542e-02,3.679159e-03,4.751900e-05,8.623379e-06
1.258201e-02,3.892486e-03,4.768700e-05,9.549714e-06
1.332741e-02,4.100954e-03,2.545000e-04,1.048923e-05
1.339218e-02,4.291281e-03,3.606300e-05,1.148234e-05
1.463269e-02,4.464263e-03,4.566200e-05,1.237799e-05
1.529053e-02,4.676385e-03,3.736700e-05,1.355409e-05
1.581899e-02,4.930346e-03,4.794500e-05,1.496058e-05
1.651330e-02,5.100203e-03,4.338700e-05,1.586890e-05
1.733905e-02,5.327806e-03,3.878500e-05,1.734433e-05
1.741730e-02,5.535590e-03,4.741000e-05,1.838888e-05
1.891291e-02,5.734001e-03,4.428800e-05,2.003256e-05
1.958469e-02,6.002082e-03,5.127800e-05,2.164610e-05
1.990383e-02,6.128512e-03,4.750700e-05,2.260027e-05
1.846109e-02,6.333926e-03,4.300000e-05,2.390508e-05
2.145018e-02,6.572641e-03,3.711700e-05,2.596427e-05
2.036787e-02,6.794049e-03,3.932500e-05,2.752076e-05
2.184494e-02,6.932680e-03,4.423100e-05,2.840455e-05
2.033625e-02,7.174687e-03,3.740000e-05,3.035568e-05
2.198484e-02,7.347182e-03,4.651400e-05,3.164228e-05
2.288197e-02,7.520205e-03,4.789700e-05,3.315190e-05
2.285557e-02,7.737940e-03,3.832500e-05,3.486267e-05
2.408331e-02,7.926450e-03,3.040940e-04,3.590876e-05
2.514122e-02,8.158839e-03,4.933700e-05,3.819330e-05
2.411077e-02,8.314700e-03,3.747100e-05,3.902200e-05
2.526578e-02,8.497316e-03,3.878800e-05,4.077674e-05
2.403576e-02,8.760767e-03,3.914600e-05,4.296276e-05
2.647657e-02,8.914294e-03,3.841000e-05,4.425647e-05
2.730515e-02,9.074607e-03,3.831600e-05,4.603414e-05
2.908821e-02,9.377539e-03,3.709000e-05,4.948814e-05
2.890077e-02,9.533653e-03,4.706800e-05,5.096548e-05
2.970079e-02,9.743923e-03,4.696700e-05,5.387727e-05
3.000645e-02,9.939433e-03,4.711200e-05,5.658440e-05
3.980725e-02,1.019053e-02,2.590270e-04,5.974240e-05
3.142335e-02,1.027511e-02,3.739600e-05,6.136156e-05
