maxAbs,mean,min,var
1.545000e-06,5.232266e-07,4.430000e-07,1.146014e-14
4.358000e-06,5.195549e-07,4.430000e-07,1.232831e-14
1.140700e-05,5.042292e-07,4.410000e-07,3.164428e-14
4.689000e-06,5.370246e-07,4.380000e-07,2.180553e-14
1.506000e-06,5.370915e-07,4.430000e-07,1.364840e-14
1.554000e-06,5.180697e-07,4.440000e-07,1.020445e-14
1.528000e-06,5.290910e-07,4.440000e-07,1.237095e-14
5.003000e-06,5.319731e-07,4.430000e-07,2.495375e-14
5.388000e-06,5.418381e-07,4.440000e-07,1.879002e-14
1.521000e-06,5.214204e-07,4.410000e-07,1.100979e-14
1.175700e-05,5.247078e-07,4.420000e-07,3.473211e-14
4.897000e-06,5.135707e-07,4.410000e-07,1.309709e-14
1.544000e-06,5.202661e-07,4.440000e-07,1.146929e-14
1.685000e-06,5.099931e-07,4.440000e-07,9.333206e-15
4.964000e-06,5.042366e-07,4.360000e-07,1.583692e-14
5.218000e-06,5.124495e-07,4.420000e-07,1.829945e-14
4.844000e-06,5.032618e-07,4.420000e-07,1.109961e-14
1.552000e-06,5.066164e-07,4.390000e-07,9.571757e-15
4.611000e-06,5.067519e-07,4.430000e-07,1.223057e-14
1.557000e-06,4.951348e-07,4.420000e-07,7.955386e-15
5.116000e-06,4.968599e-07,4.400000e-07,1.308325e-14
2.677000e-05,4.897680e-07,4.410000e-07,9.203959e-14
1.506000e-06,4.910275e-07,4.420000e-07,7.750787e-15
3.663000e-06,4.968620e-07,4.450000e-07,9.843714e-15
4.575000e-06,4.925755e-07,4.390000e-07,1.314042e-14
4.146000e-06,5.291558e-07,4.550000e-07,1.469089e-14
4.695000e-06,4.879225e-07,4.390000e-07,9.494865e-15
4.063000e-06,5.072473e-07,4.530000e-07,1.039138e-14
9.405300e-05,5.003428e-07,4.400000e-07,8.053859e-13
4.458000e-06,4.814494e-07,4.380000e-07,6.686917e-15
2.140000e-06,4.919894e-07,4.410000e-07,1.254531e-14
2.704000e-06,4.897985e-07,4.430000e-07,1.178622e-14
5.965000e-06,4.761745e-07,4.430000e-07,8.294124e-15
2.644000e-06,4.761840e-07,4.420000e-07,7.993088e-15
8.805000e-06,4.683518e-07,4.400000e-07,6.725091e-15
4.591000e-06,4.715267e-07,4.400000e-07,3.712785e-15
9.920000e-06,4.650741e-07,4.390000e-07,1.891470e-14
4.491000e-06,4.662448e-07,4.410000e-07,4.842418e-15
1.007500e-05,4.838006e-07,4.420000e-07,9.740113e-15
9.415000e-06,4.851246e-07,4.420000e-07,1.492063e-14
9.875000e-06,4.954245e-07,4.470000e-07,1.842066e-14
8.597000e-06,4.970372e-07,4.410000e-07,2.430264e-14
9.616000e-06,4.944547e-07,4.430000e-07,2.525828e-14
1.458200e-05,4.982109e-07,4.430000e-07,2.203876e-14
9.596400e-05,5.045601e-07,4.400000e-07,3.583966e-13
1.713800e-05,5.026003e-07,4.420000e-07,4.198077e-14
1.058300e-05,5.111708e-07,4.470000e-07,3.589202e-14
9.608000e-06,5.045598e-07,4.410000e-07,3.494563e-14
3.550300e-05,5.424769e-07,4.430000e-07,1.503223e-13
1.114250e-04,5.441837e-07,4.410000e-07,3.443059e-13
4.181100e-05,5.909301e-07,4.440000e-07,2.649076e-13
1.170590e-04,6.741934e-07,4.420000e-07,6.238444e-13
