maxAbs,mean,min,var
2.014020e-04,9.290431e-06,4.027000e-06,4.275176e-11
2.263670e-04,8.543889e-06,4.643000e-06,2.620843e-11
1.401920e-04,7.866496e-06,4.690000e-06,1.887531e-11
9.274200e-05,7.805324e-06,4.641000e-06,2.012540e-11
9.048700e-05,7.690070e-06,4.988000e-06,7.203326e-12
1.401480e-04,7.789827e-06,5.187000e-06,8.343348e-12
1.213550e-04,8.193633e-06,5.382000e-06,7.596284e-12
1.054230e-04,8.569097e-06,5.749000e-06,5.617303e-12
7.557600e-05,9.009193e-06,4.883000e-06,5.090658e-12
1.194210e-04,9.601505e-06,4.157000e-06,8.705960e-12
7.502100e-05,1.030660e-05,4.546000e-06,6.538385e-12
6.741200e-05,1.086679e-05,3.807000e-06,6.802715e-12
9.996200e-05,1.152092e-05,6.756000e-06,7.055456e-12
1.014660e-04,1.215579e-05,4.333000e-06,7.266431e-12
1.602230e-04,1.369749e-05,4.433000e-06,1.020388e-11
1.546700e-04,1.393735e-05,4.260000e-06,1.367949e-11
1.666010e-04,1.430197e-05,4.992000e-06,1.998143e-11
1.074500e-04,1.531728e-05,5.916000e-06,1.860440e-11
1.096890e-04,1.792814e-05,6.779000e-06,2.820952e-11
5.267400e-05,1.883476e-05,7.063000e-06,4.365658e-11
7.662700e-05,2.038798e-05,8.428000e-06,6.294780e-11
1.581060e-04,2.106065e-05,4.202000e-06,6.665592e-11
8.954700e-05,2.192483e-05,6.327000e-06,7.069697e-11
1.407970e-04,2.362176e-05,4.991000e-06,8.419622e-11
2.073020e-04,2.509802e-05,6.993000e-06,1.160146e-10
1.456490e-04,2.580505e-05,5.982000e-06,1.270318e-10
7.154900e-05,2.669830e-05,5.804000e-06,1.497275e-10
1.868440e-04,2.982429e-05,6.864000e-06,1.240143e-10
1.621670e-04,2.971395e-05,5.844000e-06,1.435906e-10
1.269640e-04,3.172925e-05,9.635000e-06,1.465950e-10
9.127100e-05,3.347836e-05,7.118000e-06,1.525934e-10
1.230540e-04,3.405076e-05,5.825000e-06,1.455588e-10
1.061950e-04,3.534971e-05,3.823000e-06,1.440854e-10
8.766800e-05,3.770291e-05,5.285000e-06,1.292927e-10
8.419900e-05,3.729144e-05,5.894000e-06,1.342066e-10
8.879600e-05,3.810694e-05,4.616000e-06,1.664948e-10
9.009500e-05,4.204707e-05,6.656000e-06,1.279192e-10
8.583700e-05,4.354262e-05,6.878000e-06,1.119388e-10
1.689170e-04,4.472865e-05,4.714000e-06,1.536312e-10
2.377390e-04,4.512872e-05,1.601600e-05,2.276391e-10
1.156860e-04,4.530659e-05,8.095000e-06,2.158435e-10
9.439000e-05,4.662568e-05,4.332000e-06,2.663744e-10
2.251220e-04,4.984392e-05,4.628000e-06,2.927070e-10
1.844640e-04,5.187104e-05,4.659000e-06,2.865785e-10
1.218920e-04,4.957537e-05,4.773000e-06,3.841791e-10
1.000620e-04,5.399577e-05,4.914000e-06,3.113287e-10
4.978740e-04,5.386093e-05,4.698000e-06,3.662602e-10
1.094230e-04,5.402062e-05,6.779000e-06,3.595488e-10
1.029700e-04,5.547786e-05,6.888000e-06,3.211247e-10
1.698890e-04,5.263521e-05,6.628000e-06,2.456977e-10
2.394250e-04,5.760291e-05,2.452100e-05,3.085348e-10
1.055540e-04,5.697208e-05,4.312000e-06,2.702943e-10
